Drug	Chemblid	max_phase	formula	synonyms	canonical
CHOLINE MAGNESIUM TRISALICYLATE	CHEMBL4297727	4.0	-	Choline magnesium trisalicylate;;;Choline magnesium trisalicylate	-
CRIZANLIZUMAB	CHEMBL4297734	4.0	-	Adakveo;;;Crizanlizumab;;;Crizanlizumab;;;Crizanlizumab;;;Crizanlizumab;;;Crizanlizumab-tmca;;;NVP-LXI262;;;NVP-LXI-262;;;SEG101;;;SEG-101;;;SelG1;;;Selg1;;;SEL-G1	-
FREMANEZUMAB	CHEMBL4297756	4.0	-	Ajovy;;;Fremanezumab;;;Fremanezumab;;;Fremanezumab;;;Fremanezumab;;;Fremanezumab;;;Fremanezumab-vfrm;;;LBR101;;;LBR-101;;;PF04472429;;;PF-04472429;;;RN307;;;RN-307;;;TEV48125;;;Tev-48125;;;TEV-48125	-
GIVOSIRAN	CHEMBL4297760	4.0	-	ALN-AS1;;;Givosiran;;;Givosiran;;;Givosiran;;;Givosiran	-
GOLODIRSEN	CHEMBL4297762	4.0	-	Golodirsen;;;Golodirsen;;;Golodirsen;;;Golodirsen;;;Golodirsen;;;NG-12-0163;;;SRP-4053;;;Vyondys 53	-
INOTERSEN	CHEMBL4297770	4.0	-	GSK-2998728;;;Inotersen;;;Inotersen;;;Inotersen;;;Inotersen;;;Inotersen;;;ISIS 420915;;;ISIS-420915	-
LONCASTUXIMAB TESIRINE	CHEMBL4297778	4.0	-	ADCT-402;;;Adct-402 tesirine;;;ADCT-402 TESIRINE;;;Loncastuximab tesirine;;;Loncastuximab tesirine;;;Loncastuximab tesirine;;;Loncastuximab tesirine-lpyl;;;Zynlonta	-
LUMASIRAN	CHEMBL4297779	4.0	-	AD-65585;;;ALN-65585;;;ALN-G01;;;ALN-GO1;;;Lumasiran;;;Lumasiran;;;Lumasiran;;;Lumasiran	-
PEGVALIASE	CHEMBL4297802	4.0	-	Bmn 165;;;BMN 165;;;BMN-165;;;Palynziq;;;Pegvaliase;;;Pegvaliase;;;Pegvaliase;;;Pegvaliase-pqpz	-
ROPEGINTERFERON ALFA-2B	CHEMBL4297819	4.0	-	Aop2014;;;P1101;;;Ropeginterferon alfa-2b;;;Ropeginterferon alfa-2b;;;Ropeginterferon alfa-2b	-
TRASTUZUMAB DERUXTECAN	CHEMBL4297844	4.0	-	DS-8201;;;DS-8201a;;;Ds-8201a;;;Enhertu;;;Fam-trastuzumab deruxtecan-nxki;;;Trastuzumab deruxtecan;;;Trastuzumab deruxtecan;;;Trastuzumab deruxtecan;;;Trastuzumab deruxtecan	-
CENEGERMIN	CHEMBL4297852	4.0	-	Cenegermin;;;Cenegermin;;;Cenegermin;;;Cenegermin-bkbj;;;Oxervate	-
BOTULINUM TOXIN TYPE A	CHEMBL4297862	4.0	-	Agn-151607;;;Ant-1401;;;Ant-1403;;;Botulift;;;Botulinum a toxin;;;Botulinum toxin type a;;;Botulinum toxin type a;;;Btx-a;;;Cunox;;;Neuronox;;;RTI150;;;RTI-150	-
FOLLITROPIN	CHEMBL4297955	4.0	-	Fe 999049;;;Follicle stimulating hormone;;;Follitropin;;;Follitropin alpha;;;Follitropin delta;;;Follitropin delta;;;Follitropin delta;;;Follitropin delta;;;Follitropin epsilon;;;Follitropin gamma;;;Follitropin gamma;;;Gonal f;;;Rekovelle	-
IMLIFIDASE	CHEMBL4297981	4.0	-	HMED-IdeS;;;Hmed-ides;;;IdeS;;;Imlifidase;;;Imlifidase;;;Imlifidase;;;Imlifidase	-
NAXITAMAB	CHEMBL4297984	4.0	-	Danyelza;;;Hu3F8;;;Hu3f8;;;Naxitamab;;;Naxitamab;;;Naxitamab;;;Naxitamab-gqgk	-
VELMANASE ALFA	CHEMBL4298010	4.0	-	Lamazym;;;Velmanase alfa;;;Velmanase alfa;;;Velmanase alfa	-
TAFASITAMAB	CHEMBL4298047	4.0	-	Monjuvi;;;Monjuvi (tafasitamab-cxix) for injection;;;Mor00208;;;MOR00208;;;MOR-00208;;;MOR208;;;Tafasitamab;;;Tafasitamab;;;Tafasitamab;;;Tafasitamab;;;Tafasitamab-cxix;;;XmAb5574;;;Xmab5574	-
VILTOLARSEN	CHEMBL4298062	4.0	-	NCNP-01;;;NS-065;;;Ns-065/ncnp-01;;;NS-065/NCNP-01;;;Viltepso;;;Viltolarsen;;;Viltolarsen;;;Viltolarsen;;;Viltolarsen	-
FERRIC MALTOL	CHEMBL4298110	4.0	-	Accrufer;;;Feraccru;;;Ferric maltol;;;Ferric maltol;;;Ferric maltol;;;Ferric maltol;;;Ferric maltol;;;Ferric maltol;;;Ferric maltol;;;ST10;;;ST-10;;;St10-021;;;ST10-021	-
DOSTARLIMAB	CHEMBL4298124	4.0	-	Dostarlimab;;;Dostarlimab;;;Dostarlimab;;;Dostarlimab;;;Dostarlimab-gxly;;;GSK4057190;;;GSK-4057190;;;Jemperli;;;Tsr 042;;;Tsr-042;;;TSR-042;;;WBP-285	-
VON WILLEBRAND FACTOR HUMAN	CHEMBL4298126	4.0	-	Von willebrand factor;;;Von willebrand factor;;;Von willebrand factor human	-
ELEXACAFTOR	CHEMBL4298128	4.0	C26H34F3N7O4S	3-PYRIDINECARBOXAMIDE, N-((1,3-DIMETHYL-1H-PYRAZOL-4-YL)SULFONYL)-6-(3-(3,3,3-TRIFLUORO-2,2-DIMETHYLPROPOXY)-1H-PYRAZOL-1-YL)-2-((4S)-2,2,4-TRIMETHYL-1-PYRROLIDINYL)-;;;Elexacaftor;;;Elexacaftor;;;Elexacaftor;;;Elexacaftor;;;Vx-445;;;VX-445	Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C
SERDEXMETHYLPHENIDATE CHLORIDE	CHEMBL4298139	4.0	C25H30ClN3O8	KP415 Cl;;;Serdexmethylphenidate chloride;;;Serdexmethylphenidate chloride	COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1C(=O)OC[n+]1cccc(C(=O)N[C@@H](CO)C(=O)O)c1.[Cl-]
SIPONIMOD FUMARATE	CHEMBL4298150	4.0	C62H74F6N4O10	Mayzent;;;NVP-BAF312-AEA;;;Siponimod fumarate;;;Siponimod fumaric acid	CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1.CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1.O=C(O)/C=C/C(=O)O
DARVADSTROCEL	CHEMBL4298180	4.0	-	Alofisel;;;Cx601;;;CX-601;;;Darvadstrocel;;;Darvadstrocel;;;Darvadstrocel;;;Darvadstrocel	-
ATOLTIVIMAB	CHEMBL4298183	4.0	-	Atoltivimab;;;Atoltivimab;;;Atoltivimab;;;Atoltivimab;;;REGN3470	-
MAFTIVIMAB	CHEMBL4298184	4.0	-	Maftivimab;;;Maftivimab;;;Maftivimab;;;REGN3479	-
FERRIC DERISOMALTOSE	CHEMBL4298187	4.0	-	Diafertm;;;Ferric derisomaltose;;;Ferric derisomaltose;;;Ferric derisomaltose;;;Ferric derisomaltose;;;Monofartm;;;Monoferric;;;Monoferrictm;;;Monoferrotm;;;Monofertm;;;Monovertm;;;NS32	-
ODESIVIMAB	CHEMBL4298188	4.0	-	Odesivimab;;;Odesivimab;;;Odesivimab;;;REGN3471	-
BELANTAMAB MAFODOTIN	CHEMBL4298209	4.0	-	Belantamab mafodotin;;;Belantamab mafodotin;;;Belantamab mafodotin;;;Belantamab mafodotin;;;Belantamab mafodotin-blmf;;;Blenrep;;;GSK2857916;;;GSK-2857916	-
PSMA-HBED-CC	CHEMBL4300153	4.0	-		-
SERDEXMETHYLPHENIDATE	CHEMBL4301162	4.0	C25H30N3O8+	Serdexmethylphenidate	COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1C(=O)OC[n+]1cccc(C(=O)N[C@@H](CO)C(=O)O)c1
FERRIC AMMONIUM CITRATE	CHEMBL4301175	4.0	-		-
E133	CHEMBL4301898	4.0	C47H49N3O7S2		CCOc1ccc(Nc2ccc(/C(=C3/C=C/C(=[N+](/CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)O)c4)cc3C)cc2)cc1
COPPER OXODOTREOTIDE	CHEMBL4302413	4.0	-		-
THALLOUS CHLORIDE	CHEMBL4302512	4.0	-		-
MELPHALAN FLUFENAMIDE	CHEMBL4303060	4.0	C24H30Cl2FN3O3	J1;;;J 1 (PRODRUG);;;J-1 (PRODRUG);;;Melflufen;;;Melphalan flufenamide;;;Melphalan flufenamide;;;Melphalan flufenamide;;;PRODRUG J 1;;;PRODRUG J-1	CCOC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](N)Cc1ccc(N(CCCl)CCCl)cc1
ABACAVIR SULFATE	CHEMBL4303288	4.0	C28H38N12O6S	1592U89;;;1592U89 SULFATE;;;Abacavir sulfate;;;Abacavir sulfate;;;Abacavir sulfate;;;Abacavir sulfate;;;Abacavir sulfate;;;Abacavir sulfate;;;Abacavir sulfate;;;Abacavir sulfate racemic;;;DRG-0257;;;Ziagen	Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.O=S(=O)(O)O
LIRAGLUTIDE	CHEMBL4524066	4.0	C172H267N43O51	Liraglutide;;;Liraglutide;;;Liraglutide;;;Liraglutide;;;Liraglutide;;;Liraglutide;;;Liraglutide;;;Liraglutide;;;Liraglutide recombinant;;;NN2211;;;NN-2211;;;NN9924;;;NN-9924;;;NNC 90-1170;;;NNC-90-1170;;;Saxenda;;;Victoza	CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1c[nH]cn1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)O)C(C)C)[C@@H](C)CC)C(=O)O
SELPERCATINIB	CHEMBL4559134	4.0	C29H31N7O3	Loxo-292;;;LOXO-292;;;LY3527723;;;LY-3527723;;;Retevmo;;;Selpercatinib;;;Selpercatinib;;;Selpercatinib;;;Selpercatinib	COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1
PRALSETINIB	CHEMBL4582651	4.0	C27H32FN9O2	BLU123244;;;BLU-123244;;;Blu-667;;;BLU-667;;;Gavreto;;;Pralsetinib;;;Pralsetinib;;;Pralsetinib;;;Pralsetinib;;;X581238;;;X-581238	CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1
ZICONOTIDE	CHEMBL4594214	4.0	C102H172N36O32S7	Prialt;;;SNX-111;;;Ziconotide;;;Ziconotide;;;Ziconotide;;;Ziconotide;;;Ziconotide	CSCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CSSC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(N)=O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC3=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O
CANAGLIFLOZIN	CHEMBL4594217	4.0	C24H27FO6S	Canagliflozin;;;Canagliflozin;;;Canagliflozin;;;Canagliflozin;;;Canagliflozin;;;Canagliflozin;;;Canagliflozin;;;Canagliflozin hemihydrate;;;Canagliflozin hemihydrate;;;Canagliflozin hydrate;;;Invokana;;;JNJ-24831754-ZAE;;;JNJ-28431754;;;JNJ-28431754-AAA;;;TA-7284	Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.O
TECHNETIUM TC 99M TEBOROXIME	CHEMBL4594222	4.0	-	Cardiotec;;;SQ 30217;;;Technetium (99mtc) teboroxime;;;Technetium (99mtc) teboroxime;;;Technetium tc 99m teboroxime;;;Technetium tc 99m teboroxime;;;Technetium tc 99m teboroxime;;;Technetium tc-99m teboroxime kit	-
LIPEGFILGRASTIM	CHEMBL4594230	4.0	-	Lipegfilgrastim;;;Lipegfilgrastim;;;Lipegfilgrastim;;;Lipegfilgrastim;;;Lipegfilgrastim;;;Lonquex;;;XM22;;;XM-22	-
IODOXAMATE MEGLUMINE	CHEMBL4594231	4.0	C40H60I6N4O20	Cholovue;;;Iodoxamate meglumine;;;Iodoxamate meglumine;;;Iodoxamate meglumine	CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I
TECHNETIUM SESTAMIBI	CHEMBL4594240	4.0	-	Technetium sestamibi	-
TECHNETIUM TC 99M SESTAMIBI	CHEMBL4594241	4.0	-	Cardiolite;;;Miraluma;;;TC99M RP-30A;;;TC99M-RP-30A;;;Technetium (99m tc) sestamibi;;;Technetium (99mtc) sestamibi;;;Technetium (99mtc) sestamibi;;;Technetium tc 99m sestamibi;;;Technetium tc 99m sestamibi;;;Technetium tc 99m sestamibi;;;Technetium tc 99m sestamibi;;;Technetium tc 99m sestamibi;;;Technetium tc 99m sestamibi;;;Technetium tc 99m sestamibi;;;Technetium tc-99m sestamibi;;;Technetium tc-99m sestamibi kit	-
CALCITONIN	CHEMBL4594242	4.0	-	Calcimar;;;Calcitare;;;Calcitonin;;;Calcitonin;;;Calcitonin;;;Calcitonin;;;Calcitonin;;;Calcitonin;;;Calcitonin;;;Calcitonin;;;Calsynar;;;Cibacalcin;;;Forcaltonin;;;Fortical;;;Miacalcic	-
HYALURONATE SODIUM	CHEMBL4594244	4.0	-	Hyaluronate sodium;;;Hyaluronate sodium;;;Hyaluronate sodium;;;Hyaluronic acid sodium salt;;;Legend;;;Sodium hyaluronate;;;Sodium hyaluronate;;;Sodium hyaluronate;;;Sodium hyaluronate for ir identification	-
CALCITONIN HUMAN	CHEMBL4594248	4.0	C151H226N40O45S3	Calcitonin human;;;Calcitonin (human synthetic);;;Cibacalcin	CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(N)=O)C(C)C
NETARSUDIL	CHEMBL4594250	4.0	C28H27N3O3	AR-11324 FREE BASE;;;AR-13324;;;Netarsudil;;;Netarsudil;;;Netarsudil;;;Netarsudil;;;Netarsudil	Cc1ccc(C(=O)OCc2ccc([C@@H](CN)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1
NETARSUDIL DIMESYLATE	CHEMBL4594251	4.0	C30H35N3O9S2	AR-13324;;;Netarsudil dimesylate;;;Netarsudil dimesylate;;;Netarsudil dimesylate;;;Netarsudil mesilate;;;Netarsudil mesylate;;;Netarsudil mesylate;;;Rhopressa	CS(=O)(=O)O.CS(=O)(=O)O.Cc1ccc(C(=O)OCc2ccc([C@@H](CN)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1
ALUMINIUM OXIDE	CHEMBL4594252	4.0	Al2O3	Aluminium oxide;;;Aluminium oxide;;;Alum ox;;;Brasivol 1;;;Brasivol 2;;;Brasivol 3	O=[Al]O[Al]=O
TAZEMETOSTAT HYDROBROMIDE	CHEMBL4594260	4.0	C34H45BrN4O4	E-7438 HYDROBROMIDE;;;EPZ-6438 HYDROBROMIDE;;;EPZ-6438 MONOHYDROBROMIDE;;;EZ438;;;EZ-438;;;Tazemetostat hydrobromide;;;Tazemetostat hydrobromide;;;Tazemetostat hydrobromide;;;Tazverik	Br.CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1
FLUOROESTRADIOL F-18	CHEMBL4594261	4.0	C18H23FO2	Cerianna;;;Fluoroestradiol f-18	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H]([18F])[C@@H]2O
AMLODIPINE BENZOATE	CHEMBL4594262	4.0	C27H31ClN2O7	Amlodipine benzoate;;;Katerzia	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=C(O)c1ccccc1
TOCOPHEROL HYDROCHLORIDE	CHEMBL4594263	4.0	-	Tocopherol hydrochloride	-
AIR POLYMER-TYPE A	CHEMBL4594264	4.0	-	Air polymer-type a;;;Exem foam kit	-
GIVOSIRAN SODIUM	CHEMBL4594265	4.0	-	Givlaari;;;Givosiran sodium	-
BEROTRALSTAT	CHEMBL4594271	4.0	C30H26F4N6O	Bcx7353;;;BCX7353;;;BCX-7353;;;Berotralstat;;;Berotralstat;;;Berotralstat	N#Cc1cccc(C(NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1
BEROTRALSTAT HYDROCHLORIDE	CHEMBL4594272	4.0	C30H28Cl2F4N6O	BCX7353.2HCl;;;Berotralstat hydrochloride;;;Berotralstat hydrochloride;;;Orladeyo	Cl.Cl.N#Cc1cccc(C(NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1
PADELIPORFIN	CHEMBL4594284	4.0	-	Padeliporfin;;;Padeliporfin;;;Padeliporfin;;;Padeliporfin;;;Padeliporfin;;;Tookad;;;Wst11;;;WST11;;;WST-11	-
LEVAMLODIPINE MALEATE	CHEMBL4594288	4.0	C24H29ClN2O9	Conjupri;;;Levamlodipine maleate;;;Levamlodipine maleate	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl.O=C(O)/C=C\C(=O)O
TEPOTINIB HYDROCHLORIDE	CHEMBL4594292	4.0	C29H31ClN6O3	Msc2156119j;;;MSC2156119J;;;Tepmetko;;;Tepotinib hydrochloride;;;Tepotinib hydrochloride;;;Tepotinib hydrochloride	CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1.Cl.O
FOSDENOPTERIN HYDROBROMIDE	CHEMBL4594300	4.0	C10H19BrN5O10P	ALXN1101 HBr;;;Fosdenopterin hydrobromide;;;Fosdenopterin hydrobromide;;;Nulibry	Br.Nc1nc(=O)c2c([nH]1)N[C@@H]1O[C@@H]3COP(=O)(O)O[C@@H]3C(O)(O)[C@@H]1N2.O.O
REMIMAZOLAM BESYLATE	CHEMBL4594301	4.0	C27H25BrN4O5S	BIPRAZINE PF;;;Byfavo;;;CNS 7056B;;;CNS-7056B;;;CNS 7056 besylate;;;CNS-7056 BESYLATE;;;GW502056X;;;GW-502056X;;;ONO-2745BS;;;ONO-IN-251;;;Remimazolam besilate;;;Remimazolam besylate;;;Remimazolam besylate;;;Remimazolam besylate;;;RF10007;;;RF-10007;;;SP148.5	COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21.O=S(=O)(O)c1ccccc1
ANSUVIMAB	CHEMBL4594388	4.0	-	Ansuvimab;;;Ansuvimab;;;Ansuvimab;;;Ansuvimab-zykl;;;Ebanga;;;EboV mAb114;;;EVB114;;;EVB-114;;;Mab114;;;MAB114;;;MAB-114;;;VRC-EBOMAB092-00-AB	-
CALCIUM OXYBATE	CHEMBL4594393	4.0	C8H14CaO6	Calcium oxybate	O=C([O-])CCCO.O=C([O-])CCCO.[Ca+2]
MAGNESIUM OXYBATE	CHEMBL4594394	4.0	C8H14MgO6	Magnesium oxybate	O=C([O-])CCCO.O=C([O-])CCCO.[Mg+2]
POTASSIUM OXYBATE	CHEMBL4594395	4.0	C4H7KO3	Potassium oxybate	O=C([O-])CCCO.[K+]
TECHNETIUM SESTAMIBI	CHEMBL4594619	4.0	-		-
TECHNETIUM  BICISATE	CHEMBL4597194	4.0	-		-
TECHNETIUM  TEBOROXIME	CHEMBL4597794	4.0	-		-
TRILACICLIB DIHYDROCHLORIDE	CHEMBL4650272	4.0	C24H32Cl2N8O	Cosela;;;Trilaciclib dihydrochloride	CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1.Cl.Cl
SETMELANOTIDE ACETATE	CHEMBL4650273	4.0	C53H76N18O13S2	Imcivree;;;Setmelanotide acetate	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](C)NC1=O.CC(=O)O.CC(=O)O
DASIGLUCAGON HYDROCHLORIDE	CHEMBL4650274	4.0	-	Dasiglucagon hydrochloride;;;Zegalogue;;;Zegalogue (autoinjector)	-
LUMASIRAN SODIUM	CHEMBL4650275	4.0	-	Lumasiran sodium;;;Oxlumo	-
DARAPLADIB	CHEMBL204021	3.0	C36H38F4N4O2S	Darapladib;;;Darapladib;;;Darapladib;;;Darapladib;;;Darapladib;;;SB-480848	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2
FENRETINIDE	CHEMBL7301	3.0	C26H33NO2	4-HPR;;;Fenretinide;;;Fenretinide;;;Fenretinide;;;Fenretinide;;;MCN-R-1967	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
SORBINIL	CHEMBL266497	3.0	C11H9FN2O3	CP-45634;;;CP-45,634;;;NSC-355082;;;Sorbinil;;;Sorbinil;;;Sorbinil;;;Sorbinil;;;Sorbinil	O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1
SEROTONIN	CHEMBL39	3.0	C10H12N2O	5-HT;;;5-Hydroxytryptamine;;;Serotonin;;;Serotonin	NCCc1c[nH]c2ccc(O)cc12
FLINDOKALNER	CHEMBL266510	3.0	C16H10ClF4NO2	BMS-204352;;;Flindokalner;;;Flindokalner;;;Flindokalner;;;Maxipost	COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21
QUERCETIN	CHEMBL50	3.0	C15H10O7	C.I. Natural Red 1;;;LDN 0052529;;;LDN-0052529;;;Meletin;;;NSC 57655;;;NSC-57655;;;NSC 9219;;;NSC-9219;;;Quercetin;;;Quercetin;;;Quercetin;;;Sophoretin;;;Xanthaurine	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
ATRASENTAN	CHEMBL9194	3.0	C29H38N2O6	A-127722;;;Atrasentan;;;Atrasentan;;;Atrasentan	CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1
TENOFOVIR	CHEMBL483	3.0	C9H14N5O4P	Atripla;;;GS-1275;;;PMP-A;;;Tenofovir;;;Truvada	C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O
ADEFOVIR	CHEMBL484	3.0	C8H12N5O4P	Adefovir;;;Adefovir;;;Adefovir;;;Adefovir;;;Adefovir;;;Adefovir;;;GS 0393;;;GS-0393	Nc1ncnc2c1ncn2CCOCP(=O)(O)O
DROLOXIFENE	CHEMBL487	3.0	C26H29NO2	3-hydroxytamoxifen;;;Droloxifene;;;Droloxifene;;;Droloxifene;;;E-Droloxifene;;;Fk-435;;;FK-435;;;K060;;;K060E;;;K-21060E	CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1
AFIMOXIFENE	CHEMBL489	3.0	C26H29NO2	4-Hydroxytamoxifen;;;4-OHT;;;Afimoxifene;;;Afimoxifene;;;Afimoxifene;;;Tamogel	CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
ARTEMISIN	CHEMBL77	3.0	C15H22O5	4-hydroxysantonin;;;Artemisin;;;Artemisin;;;GNF-Pf-5341	C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1C32OO4
IDAZOXAN	CHEMBL10316	3.0	C11H12N2O2	Idazoxan;;;Idazoxan;;;Idazoxan;;;Idazoxan;;;RX-781094	c1ccc2c(c1)OCC(C1=NCCN1)O2
NAFAMOSTAT	CHEMBL273264	3.0	C19H17N5O2	Nafamostat;;;Nafamostat;;;Nafamostat	N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1
HYDROXYCAMPTOTHECIN	CHEMBL273862	3.0	C20H16N2O5	10-Hydroxy Camptothecin;;;10-Hydroxy-Camptothecin;;;10-hydroxycamptothecin;;;10-Hydroxycamptothecine;;;Hydroxycamptothecin;;;Irinotecan related compound a;;;NSC-107124	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1
TYRAMINE	CHEMBL11608	3.0	C8H11NO	FEMA NO. 4215;;;NSC-249188;;;Ractopamine hydrochloride suspension impurity, tyramine-;;;Tyramine;;;Tyramine	NCCc1ccc(O)cc1
